YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2007,4.9000000000000004,1.6000000000000001,5,54.600000000000001,370,378.30000000000001,463.19999999999999,465.30000000000001,486.39999999999998,209.40000000000001,223.90000000000001,85.599999999999994
2008,9.9000000000000004,67.700000000000003,115.8,216.09999999999999,545.5,457.80000000000001,511.19999999999999,482.10000000000002,332,243.69999999999999,321.10000000000002,72
2009,24.5,6.2999999999999998,44.200000000000003,136.5,313.10000000000002,633.5,297.30000000000001,351.5,344.69999999999999,272.80000000000001,66.200000000000003,48
2010,101.7,8,0.69999999999999996,12.5,319,448.89999999999998,521.89999999999998,563.79999999999995,263.30000000000001,402.39999999999998,268.5,246.40000000000001
2011,265.89999999999998,84.799999999999997,272.80000000000001,111.40000000000001,326.5,383.19999999999999,583.20000000000005,441.5,757.10000000000002,212.30000000000001,150.80000000000001,238.5
2012,119.90000000000001,45.600000000000001,30.899999999999999,55.799999999999997,533.89999999999998,458.19999999999999,317.30000000000001,369.60000000000002,868.89999999999998,209.69999999999999,300.5,187.30000000000001
2013,67.099999999999994,37.600000000000001,43,46.299999999999997,509.30000000000001,777,564.79999999999995,336.69999999999999,473.60000000000002,455.80000000000001,354.19999999999999,92.299999999999997
2014,41.899999999999999,8.5999999999999996,0,11.1,238,416.60000000000002,467.60000000000002,321.60000000000002,412.89999999999998,402.60000000000002,201.19999999999999,100.40000000000001
2015,126.8,7.5999999999999996,3.1000000000000001,138.19999999999999,331.89999999999998,346.39999999999998,328.89999999999998,480,523.29999999999995,252.09999999999999,236.30000000000001,129.90000000000001
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
