,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1986,1988-JAN-10.20,1988-FEB-39.90,1988-MAR-28.00,1988-APR-82.70,1988-MAY-427.50,1988-JUN-357.40,1988-JUL-495.60,1988-AUG-354.20,1988-SEP-603.30,1988-OCT-271.40,1988-NOV-583.00,1988-DEC-69.90
1987,1989-JAN-56.00,1989-FEB-12.80,1989-MAR-68.10,1989-APR-42.60,1989-MAY-379.30,1989-JUN-414.90,1989-JUL-380.10,1989-AUG-413.20,1989-SEP-215.90,1989-OCT-291.80,1989-NOV-255.00,1989-DEC-4.00
1988,1990-JAN-13.40,1990-FEB-0.20,1990-MAR-24.60,1990-APR-87.50,1990-MAY-424.60,1990-JUN-291.00,1990-JUL-213.20,1990-AUG-293.30,1990-SEP-310.40,1990-OCT-133.60,1990-NOV-291.10,1990-DEC-100.30
1989,1991-JAN-14.10,1991-FEB-3.80,1991-MAR-28.00,1991-APR-132.90,1991-MAY-191.30,1991-JUN-165.70,1991-JUL-547.20,1991-AUG-486.50,1991-SEP-489.90,1991-OCT-287.60,1991-NOV-130.10,1991-DEC-58.50
1990,1992-JAN-75.90,1992-FEB-10.90,1992-MAR-0.00,1992-APR-5.10,1992-MAY-241.70,1992-JUN-392.00,1992-JUL-348.20,1992-AUG-372.30,1992-SEP-323.70,1992-OCT-257.30,1992-NOV-64.30,1992-DEC-7.20
1991,1993-JAN-14.90,1993-FEB-0.00,1993-MAR-129.90,1993-APR-43.70,1993-MAY-181.40,1993-JUN-257.10,1993-JUL-391.70,1993-AUG-226.70,1993-SEP-437.00,1993-OCT-299.30,1993-NOV-189.00,1993-DEC-66.70
1992,1994-JAN-7.20,1994-FEB-35.50,1994-MAR-129.40,1994-APR-154.60,1994-MAY-403.20,1994-JUN-386.30,1994-JUL-569.70,1994-AUG-460.50,1994-SEP-775.10,1994-OCT-137.50,1994-NOV-180.30,1994-DEC-23.80
1993,1995-JAN-51.80,1995-FEB-12.50,1995-MAR-12.10,1995-APR-21.10,1995-MAY-314.80,1995-JUN-450.40,1995-JUL-501.40,1995-AUG-555.80,1995-SEP-426.40,1995-OCT-294.70,1995-NOV-452.90,1995-DEC-21.60
1994,1996-JAN-52.20,1996-FEB-4.80,1996-MAR-3.40,1996-APR-122.70,1996-MAY-298.00,1996-JUN-559.20,1996-JUL-335.50,1996-AUG-328.00,1996-SEP-541.60,1996-OCT-318.50,1996-NOV-254.20,1996-DEC-178.80
1995,1997-JAN-9.50,1997-FEB-0.00,1997-MAR-0.20,1997-APR-15.60,1997-MAY-281.10,1997-JUN-199.50,1997-JUL-918.50,1997-AUG-430.60,1997-SEP-440.20,1997-OCT-128.70,1997-NOV-292.80,1997-DEC-38.40
1996,1998-JAN-0.90,1998-FEB-0.00,1998-MAR-0.00,1998-APR-0.00,1998-MAY-348.90,1998-JUN-600.00,1998-JUL-364.50,1998-AUG-258.90,1998-SEP-337.80,1998-OCT-618.60,1998-NOV-227.80,1998-DEC-89.00
1997,1999-JAN-46.80,1999-FEB-44.60,1999-MAR-14.20,1999-APR-270.60,1999-MAY-257.40,1999-JUN-295.00,1999-JUL-408.50,1999-AUG-329.20,1999-SEP-325.30,1999-OCT-437.50,1999-NOV-124.90,1999-DEC-145.70
1998,2000-JAN-53.00,2000-FEB-59.00,2000-MAR-171.30,2000-APR-218.10,2000-MAY-422.80,2000-JUN-357.00,2000-JUL-176.30,2000-AUG-460.80,2000-SEP-250.10,2000-OCT-321.20,2000-NOV-158.30,2000-DEC-115.20
1999,2001-JAN-89.00,2001-FEB-15.70,2001-MAR-143.30,2001-APR-30.10,2001-MAY-705.30,2001-JUN-370.70,2001-JUL-341.30,2001-AUG-469.00,2001-SEP-334.40,2001-OCT-267.60,2001-NOV-222.60,2001-DEC-91.80
2000,2002-JAN-10.60,2002-FEB-0.00,2002-MAR-11.50,2002-APR-100.20,2002-MAY-366.70,2002-JUN-358.30,2002-JUL-317.40,2002-AUG-429.80,2002-SEP-420.00,2002-OCT-169.00,2002-NOV-306.70,2002-DEC-129.90
2001,2003-JAN-44.30,2003-FEB-7.90,2003-MAR-149.20,2003-APR-19.40,2003-MAY-296.30,2003-JUN-159.90,2003-JUL-494.90,2003-AUG-379.40,2003-SEP-371.90,2003-OCT-310.40,2003-NOV-74.10,2003-DEC-48.00
2002,2004-JAN-54.50,2004-FEB-35.90,2004-MAR-36.50,2004-APR-41.60,2004-MAY-505.10,2004-JUN-423.90,2004-JUL-378.90,2004-AUG-308.70,2004-SEP-280.70,2004-OCT-223.90,2004-NOV-169.90,2004-DEC-0.40
2003,2005-JAN-0.00,2005-FEB-0.00,2005-MAR-20.30,2005-APR-51.10,2005-MAY-305.30,2005-JUN-452.40,2005-JUL-429.30,2005-AUG-311.10,2005-SEP-507.50,2005-OCT-293.50,2005-NOV-300.10,2005-DEC-283.90
